<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.08	10:00:00	173560	173800	172985	173045	316974	1124664	1
2026.07.08	10:15:00	173050	173335	172005	173150	440731	1608569	1
2026.07.08	10:30:00	173150	173500	172755	173040	320421	1118637	1
2026.07.08	10:45:00	173040	173280	172610	172740	216863	754142	1
2026.07.08	11:00:00	172745	173115	172560	172780	202135	692372	1
2026.07.08	11:15:00	172780	173095	172600	172800	190113	637530	1
2026.07.08	11:30:00	172800	172875	172375	172455	157148	552623	1
2026.07.08	11:45:00	172450	172485	172135	172235	158932	588448	1
2026.07.08	12:00:00	172230	172600	172075	172410	129536	458671	1
2026.07.08	12:15:00	172410	172535	172275	172315	91535	319484	1
2026.07.08	12:30:00	172310	172675	172290	172570	94476	326933	1
2026.07.08	12:45:00	172570	172595	172245	172260	80687	285132	1
2026.07.08	13:00:00	172255	172340	172210	172275	51473	187217	1
2026.07.08	13:15:00	172280	172390	172235	172280	62792	227502	1
2026.07.08	13:30:00	172285	172625	172170	172530	106362	389328	1
2026.07.08	13:45:00	172530	172970	172525	172790	107164	391235	1
2026.07.08	14:00:00	172790	172800	172480	172665	90808	332440	1
2026.07.08	14:15:00	172665	172885	172660	172670	72173	264216	1
2026.07.08	14:30:00	172675	172730	172565	172630	61958	237976	1
2026.07.08	14:45:00	172630	172685	172505	172605	62649	229141	1
2026.07.08	15:00:00	172605	172955	172595	172870	88364	323218	1
2026.07.08	15:15:00	172865	172925	172735	172825	60271	217427	1
2026.07.08	15:30:00	172830	172935	172700	172800	68896	251332	1
2026.07.08	15:45:00	172800	173000	172750	172810	68222	245432	1
2026.07.08	16:00:00	172810	172970	172790	172875	51491	190449	1
2026.07.08	16:15:00	172870	172985	172815	172920	44583	157195	1
2026.07.08	16:30:00	172920	173070	172910	173040	55376	200499	1
2026.07.08	16:45:00	173035	173040	172795	172865	67158	255919	1
2026.07.08	17:00:00	172865	172875	172640	172725	58896	221255	1
2026.07.08	17:15:00	172725	172735	172480	172505	36164	134569	1
2026.07.08	17:30:00	172500	172590	172430	172490	34198	117605	1
2026.07.08	17:45:00	172490	172580	172485	172545	18422	59333	1
2026.07.08	18:00:00	172545	172650	172495	172620	27537	69045	1
2026.07.08	18:15:00	172620	172720	172590	172665	16583	50225	1
2026.07.09	09:00:00	173025	173770	172460	173480	412128	1274465	1
2026.07.09	09:15:00	173480	173860	173420	173645	202451	668003	1
2026.07.09	09:30:00	173645	173775	173345	173510	194676	630362	1
2026.07.09	09:45:00	173505	173550	172995	173150	161756	537827	1
2026.07.09	10:00:00	173150	173795	173145	173715	285311	950295	1
2026.07.09	10:15:00	173720	173825	173200	173365	265804	886407	1
2026.07.09	10:30:00	173365	173415	172935	173120	252668	867905	1
2026.07.09	10:45:00	173120	173155	172830	173110	186382	668668	1
2026.07.09	11:00:00	173110	174015	173100	173890	278228	999127	1
2026.07.09	11:15:00	173885	174390	173730	174255	247469	903758	1
2026.07.09	11:30:00	174250	174415	174145	174175	132734	479373	1
2026.07.09	11:45:00	174175	174495	174155	174465	105941	382067	1
2026.07.09	12:00:00	174460	174720	174325	174635	130677	495239	1
2026.07.09	12:15:00	174635	174675	174145	174200	109413	416532	1
2026.07.09	12:30:00	174200	174520	174115	174455	87311	336026	1
2026.07.09	12:45:00	174460	174505	174405	174460	42404	169874	1
2026.07.09	13:00:00	174460	174755	174455	174710	77236	289835	1
2026.07.09	13:15:00	174715	174725	174475	174545	61381	228879	1
2026.07.09	13:30:00	174550	174565	174360	174430	56405	211852	1
2026.07.09	13:45:00	174425	174490	174380	174465	40661	166834	1
2026.07.09	14:00:00	174465	174550	174370	174440	57395	223212	1
2026.07.09	14:15:00	174440	174715	174425	174645	62258	247021	1
2026.07.09	14:30:00	174645	174970	174605	174895	92425	371439	1
2026.07.09	14:45:00	174895	174965	174815	174860	62606	257253	1
2026.07.09	15:00:00	174865	174900	174660	174750	70922	291912	1
2026.07.09	15:15:00	174750	174795	174625	174640	48541	204699	1
2026.07.09	15:30:00	174645	174780	174605	174700	51841	228430	1
2026.07.09	15:45:00	174695	174925	174680	174870	53725	232550	1
2026.07.09	16:00:00	174875	174945	174800	174890	52241	234047	1
2026.07.09	16:15:00	174895	175045	174880	174940	59643	250743	1
2026.07.09	16:30:00	174940	175030	174765	174970	68124	296030	1
2026.07.09	16:45:00	174970	175080	174945	175040	47015	210258	1
2026.07.09	17:00:00	175045	175190	174955	175150	58755	264296	1
2026.07.09	17:15:00	175150	175230	175085	175095	30701	123899	1
